Código|Valor|Etiqueta
DEPTO_MCPIO|101|Guatemala
DEPTO_MCPIO|102|Santa Catarina Pinula
DEPTO_MCPIO|103|San José Pinula
DEPTO_MCPIO|104|San José del Golfo
DEPTO_MCPIO|105|Palencia
DEPTO_MCPIO|106|Chinautla
DEPTO_MCPIO|107|San Pedro Ayampuc
DEPTO_MCPIO|108|Mixco
DEPTO_MCPIO|109|San Pedro Sacatepéquez
DEPTO_MCPIO|110|San Juan Sacatepéquez
DEPTO_MCPIO|111|San Raymundo
DEPTO_MCPIO|112|Chuarrancho
DEPTO_MCPIO|113|Fraijanes
DEPTO_MCPIO|114|Amatitlán
DEPTO_MCPIO|115|Villa Nueva
DEPTO_MCPIO|116|Villa Canales
DEPTO_MCPIO|117|Petapa
DEPTO_MCPIO|201|Guastatoya
DEPTO_MCPIO|202|Morazán
DEPTO_MCPIO|203|San Agustín Acasaguastlán
DEPTO_MCPIO|204|San Cristóbal Acasaguastlán
DEPTO_MCPIO|205|El Jícaro
DEPTO_MCPIO|206|Sansare
DEPTO_MCPIO|207|Sanarate
DEPTO_MCPIO|208|San Antonio La Paz
DEPTO_MCPIO|301|Antigua Guatemala
DEPTO_MCPIO|302|Jocotenango
DEPTO_MCPIO|303|Pastores
DEPTO_MCPIO|304|Sumpango
DEPTO_MCPIO|305|Santo Domingo Xenacoj
DEPTO_MCPIO|306|Santiago Sacatepéquez
DEPTO_MCPIO|307|San Bartolomé Milpas Altas
DEPTO_MCPIO|308|San Lucas Sacatepéquez
DEPTO_MCPIO|309|Santa Lucía Milpas Altas
DEPTO_MCPIO|310|Magdalena Milpas Altas
DEPTO_MCPIO|311|Santa María de Jesús
DEPTO_MCPIO|312|Ciudad Vieja
DEPTO_MCPIO|313|San Miguel Dueñas
DEPTO_MCPIO|314|Alotenango
DEPTO_MCPIO|315|San Antonio Aguas Calientes
DEPTO_MCPIO|316|Santa Catarina Barahona
DEPTO_MCPIO|401|Chimaltenango
DEPTO_MCPIO|402|San José Poaquil
DEPTO_MCPIO|403|San Martín Jilotepeque
DEPTO_MCPIO|404|Comalapa
DEPTO_MCPIO|405|Santa Apolonia
DEPTO_MCPIO|406|Tecpán Guatemala
DEPTO_MCPIO|407|Patzún
DEPTO_MCPIO|408|Pochuta
DEPTO_MCPIO|409|Patzicía
DEPTO_MCPIO|410|Santa Cruz Balanyá
DEPTO_MCPIO|411|Acatenango
DEPTO_MCPIO|412|Yepocapa
DEPTO_MCPIO|413|San Andrés Itzapa
DEPTO_MCPIO|414|Parramos
DEPTO_MCPIO|415|Zaragoza
